"","Time","Cust.Available","Cust.Attrited","Survival.Rate"
"1",3,1957,34,0.982626469085335
"2",31,1923,30,0.967296882984159
"3",59,1893,30,0.951967296882984
"4",91,1863,32,0.935615738375064
"5",122,1831,53,0.908533469596321
"6",153,1778,39,0.888605007664793
"7",181,1739,26,0.875319366377108
"8",213,1713,23,0.86356668369954
"9",244,1690,40,0.84312723556464
"10",276,1650,24,0.8308635666837
"11",304,1626,28,0.816555952989269
"12",335,1598,32,0.800204394481349
"13",367,1566,24,0.787940725600409
"14",398,1542,35,0.770056208482371
"15",426,1507,42,0.748594787940726
"16",458,1465,51,0.722534491568728
"17",486,1414,14,0.715380684721513
"18",517,1400,7,0.711803781297905
"19",549,1393,5,0.709248850281042
"20",577,1388,2,0.708226877874297
"21",608,1386,9,0.703628002043945
"22",640,1377,4,0.701584057230455
"23",671,1373,6,0.69851814001022
"24",699,1367,9,0.693919264179867
"25",731,1358,8,0.689831374552887
