"","Time","Customer.available","Customer.Attrited","Survival.Rate"
"1",1,7032,380,0.945961319681456
"2",2,6419,123,0.927834938263662
"3",3,6181,94,0.913724521794356
"4",4,5981,83,0.901044512546917
"5",5,5805,64,0.891110516198424
"6",6,5672,40,0.884826238933273
"7",7,5562,51,0.876712945480271
"8",8,5431,42,0.869932988987881
"9",9,5308,46,0.862394006792432
"10",10,5189,45,0.854915161098529
"11",11,5073,31,0.849690960429486
"12",12,4974,38,0.843199553815831
"13",13,4857,38,0.836602563277433
"14",14,4748,24,0.832373738189257
"15",15,4672,37,0.825781737266097
"16",16,4573,28,0.820725562185526
"17",17,4493,26,0.815976204380758
"18",18,4406,24,0.811531486063659
"19",19,4309,19,0.807953138828753
"20",20,4236,18,0.804519910193504
"21",21,4165,17,0.80123615545802
"22",22,4102,27,0.795962294854079
"23",23,4012,13,0.793383154815917
"24",24,3927,23,0.788736398370599
"25",25,3833,23,0.784003568429946
"26",26,3754,15,0.780870895673832
"27",27,3675,13,0.778108631280973
"28",28,3603,12,0.775517095456556
"29",29,3546,15,0.772236566287958
"30",30,3474,16,0.768679921192792
"31",31,3402,16,0.765064730499352
"32",32,3337,19,0.760708653220512
"33",33,3268,14,0.757449803420914
"34",34,3204,12,0.754612912771397
"35",35,3139,15,0.751006925612566
"36",36,3051,10,0.748545414876373
"37",37,3001,15,0.744803934961963
"38",38,2936,13,0.741506097375278
"39",39,2877,14,0.737897795198269
"40",40,2821,13,0.734497344529153
"41",41,2757,14,0.730767579268577
"42",42,2687,14,0.726960081646783
"43",43,2622,15,0.722801271111046
"44",44,2557,6,0.721105218069722
"45",45,2506,6,0.719378709167719
"46",46,2445,12,0.71584801611659
"47",47,2371,14,0.711621161529651
"48",48,2303,9,0.708840184346078
"49",49,2239,15,0.704091366675158
"50",50,2173,10,0.700851185512364
"51",51,2105,8,0.698187618061485
"52",52,2037,8,0.695445595015589
"53",53,1957,14,0.690470511556101
"54",54,1887,13,0.685713692981522
"55",55,1819,9,0.682320936941482
"56",56,1755,10,0.67843306835492
"57",57,1675,8,0.675192791013524
"58",58,1610,11,0.670579672565605
"59",59,1543,8,0.667102914703956
"60",60,1483,6,0.664403914374742
"61",61,1407,8,0.660626209104666
"62",62,1331,5,0.658144517860847
"63",63,1261,4,0.656056827082541
"64",64,1189,4,0.653849739354761
"65",65,1109,9,0.648543474562883
"66",66,1033,13,0.640381746422208
"67",67,944,10,0.633598041481295
"68",68,846,9,0.626857636784685
"69",69,746,8,0.620135302878147
"70",70,651,11,0.609656826178209
"71",71,532,6,0.602780997311537
"72",72,362,6,0.59279015205223
